time,a_x,a_z,a_y,g_x
2021-01-31T16:27:33.537574839Z,-0.281157,9.868,-0.719043,2493.75
2021-01-31T16:27:33.553566535Z,-0.344566,10.175477,-0.62333,2003.75
2021-01-31T16:27:33.569563335Z,-0.321835,10.241282,-0.671187,2065
2021-01-31T16:27:33.585558625Z,-0.185444,10.403993,-0.518046,2231.25
2021-01-31T16:27:33.601552822Z,-0.434297,10.262815,-0.775275,2795.625
2021-01-31T16:27:33.617573319Z,0.044267,9.6682,-0.598206,2034.375
2021-01-31T16:27:33.633620171Z,-0.704686,9.369097,-0.547956,2506.875
2021-01-31T16:27:33.649831393Z,0.622134,8.644072,0.400798,2463.125
2021-01-31T16:27:33.666000950Z,-0.769292,11.361122,-1.383051,2664.375
2021-01-31T16:27:33.682014312Z,-0.409173,10.112068,-0.997807,2883.125
2021-01-31T16:27:33.698103714Z,0.367298,10.761721,0.002393,971.25
2021-01-31T16:27:33.714224991Z,-0.230907,9.562916,-0.731007,2983.75
2021-01-31T16:27:33.730218771Z,-0.185444,10.619347,-0.758525,2310
2021-01-31T16:27:33.746218071Z,0.356531,11.413764,-0.753739,1636.25
2021-01-31T16:27:33.762371743Z,-0.824327,9.806983,-1.247857,2926.875
2021-01-31T16:27:33.778409896Z,-0.027517,10.813165,-1.034896,857.5
2021-01-31T16:27:33.794413884Z,-0.128016,10.170692,-0.558724,1960
2021-01-31T16:27:33.810411570Z,-0.394816,11.310873,-1.071985,2086.875
2021-01-31T16:27:33.826411912Z,-0.163908,11.307282,-0.78006,2196.25
2021-01-31T16:27:33.842407879Z,-0.616152,10.561919,-0.604188,1365
2021-01-31T16:27:33.858408742Z,-0.282353,10.800005,-0.996611,1793.75
2021-01-31T16:27:33.874418302Z,-0.166301,10.42194,-0.861416,1833.125
2021-01-31T16:27:33.890415519Z,-1.196411,8.577072,-0.897308,796.25
2021-01-31T16:27:33.906410132Z,0.393619,8.653644,-0.467797,1728.125
2021-01-31T16:27:33.922408495Z,-0.125623,12.477374,-0.613759,2375.625
2021-01-31T16:27:33.938419410Z,-0.545564,8.653644,-0.611366,1885.625
2021-01-31T16:27:33.954424647Z,-0.116052,11.874382,-0.86022,1010.625
2021-01-31T16:27:33.970420302Z,-0.242871,9.243474,-0.495314,1999.375
2021-01-31T16:27:33.986413873Z,-0.364905,11.375479,-0.434297,1347.5
2021-01-31T16:27:34.002408122Z,0.555135,11.423335,-0.307478,2213.75
2021-01-31T16:27:34.018482889Z,-0.321835,11.676974,-0.981057,2253.125
2021-01-31T16:27:34.034479012Z,-0.149551,10.537991,-0.996611,1150.625
2021-01-31T16:27:34.050476593Z,0.026321,10.378868,-0.896112,1666.875
2021-01-31T16:27:34.066519538Z,0.070588,11.093125,-0.701097,1929.375
2021-01-31T16:27:34.082517431Z,-0.197408,10.018748,-0.65683,1592.5
2021-01-31T16:27:34.098512356Z,0.014357,11.125428,-0.835095,1771.875
2021-01-31T16:27:34.114518323Z,-0.083749,10.859826,-0.782453,1916.25
2021-01-31T16:27:34.130518612Z,-0.260818,10.516455,-0.807578,1946.875
2021-01-31T16:27:34.146629316Z,-0.090927,10.445867,-0.847059,1172.5
2021-01-31T16:27:34.162704083Z,-0.104088,10.079765,-0.652044,2340.625
2021-01-31T16:27:34.178785360Z,-0.239282,10.466206,-0.723829,1903.125
2021-01-31T16:27:34.194962780Z,-0.206979,9.868,-0.685544,2218.125
2021-01-31T16:27:34.210959737Z,-0.368495,9.802197,-0.690329,2288.125
2021-01-31T16:27:34.226928933Z,-0.320638,9.79143,-0.740579,1946.875
2021-01-31T16:27:34.242889484Z,-0.118445,9.940981,-0.947558,2288.125
2021-01-31T16:27:34.258850608Z,-0.378066,9.739985,-0.635294,2060.625
2021-01-31T16:27:34.274810586Z,-0.20339,9.745967,-0.827917,1531.25
2021-01-31T16:27:34.290773272Z,-0.236889,9.879964,-0.916451,2117.5
2021-01-31T16:27:34.306734344Z,-0.375673,9.499505,-0.786042,1758.75
2021-01-31T16:27:34.322693384Z,-0.214158,9.784252,-0.614955,1872.5
2021-01-31T16:27:34.338652425Z,-0.454636,9.998409,-0.848256,1894.375
2021-01-31T16:27:34.354613601Z,-0.144766,9.976874,-0.717847,2016.875
2021-01-31T16:27:34.370576495Z,-0.289532,9.498309,-0.875773,2025.625
2021-01-31T16:27:34.386651002Z,-0.190229,9.902697,-0.832702,1955.625
2021-01-31T16:27:34.402611969Z,-0.26321,9.912268,-0.666401,2205
2021-01-31T16:27:34.418572051Z,-0.141177,9.777073,-1.113859,1645
2021-01-31T16:27:34.434535779Z,-0.002393,10.017551,-1.160519,1986.25
2021-01-31T16:27:34.450496486Z,-0.209372,9.688539,-0.912862,1741.25
2021-01-31T16:27:34.466459381Z,-0.167498,10.086944,-0.921237,1505
2021-01-31T16:27:34.482419099Z,-0.102891,10.145569,-0.863809,1706.25
2021-01-31T16:27:34.498380431Z,-0.056231,10.224532,-0.868595,1750
2021-01-31T16:27:34.514361450Z,-0.17348,10.459028,-0.886541,1771.875
2021-01-31T16:27:34.530324292Z,-0.102891,10.535598,-0.831506,1758.75
2021-01-31T16:27:34.546284166Z,-0.087338,10.640882,-1.119841,1732.5
2021-01-31T16:27:34.562248675Z,-0.144766,10.364511,-0.777667,2183.125
2021-01-31T16:27:34.578213184Z,-0.154337,10.327423,-0.910469,2082.5
2021-01-31T16:27:34.594178371Z,-0.2668,10.657632,-0.731007,2646.875
2021-01-31T16:27:34.610141994Z,-0.196211,10.213763,-0.662812,2511.25
2021-01-31T16:27:34.626102962Z,-0.104088,10.656436,-1.092324,2196.25
2021-01-31T16:27:34.642178510Z,-0.242871,10.327423,-0.746561,2660
2021-01-31T16:27:34.658267704Z,-0.144766,10.686346,-1.172483,2371.25
2021-01-31T16:27:34.674233254Z,-0.090927,10.61815,-0.898505,2651.25
2021-01-31T16:27:34.690196305Z,-0.299103,10.063015,-1.107877,1995
2021-01-31T16:27:34.706160554Z,-0.16989,10.364511,-1.032503,2445.625
2021-01-31T16:27:34.722125428Z,-0.128016,10.199407,-0.790828,2401.875
2021-01-31T16:27:34.738089312Z,-0.37687,10.413565,-0.937986,2135
2021-01-31T16:27:34.754054185Z,-0.324227,9.999605,-0.581456,2126.25
2021-01-31T16:27:34.770016767Z,-0.187837,10.106087,-0.95354,2231.25
2021-01-31T16:27:34.785979141Z,-0.293121,10.074981,-0.811167,2196.25
2021-01-31T16:27:34.801942244Z,-0.195015,10.314261,-0.695115,2170
2021-01-31T16:27:34.817903160Z,-0.214158,10.024731,-0.775275,2266.25
2021-01-31T16:27:34.833869179Z,-0.258425,9.890733,-0.943969,1933.75
2021-01-31T16:27:34.849829574Z,-0.214158,10.273583,-0.709472,2301.25
2021-01-31T16:27:34.865791843Z,-0.294317,10.235298,-0.515653,1942.5
2021-01-31T16:27:34.881755050Z,-0.068195,10.432706,-0.905683,2139.375
2021-01-31T16:27:34.897720497Z,-0.299103,10.55833,-0.940379,2104.375
2021-01-31T16:27:34.913745213Z,-0.099302,10.537991,-0.61017,2397.5
2021-01-31T16:27:34.929752586Z,-0.2668,11.02493,-0.899701,2288.125
2021-01-31T16:27:34.945753083Z,-0.171087,10.018748,-0.729811,2108.75
2021-01-31T16:27:34.961751706Z,-0.106481,10.468598,-0.855434,2533.125
2021-01-31T16:27:34.977780849Z,-0.600598,9.87159,-1.064806,2056.25
2021-01-31T16:27:34.993939208Z,-0.178265,10.402797,-0.941576,2161.25
2021-01-31T16:27:35.009937570Z,-0.211765,10.240085,-0.777667,1977.5
2021-01-31T16:27:35.025937339Z,-0.151944,9.913465,-0.959522,1671.25
2021-01-31T16:27:35.041932263Z,-0.151944,10.040283,-0.757328,2174.375
2021-01-31T16:27:35.057929792Z,-0.253639,10.13839,-0.564706,1938.125
2021-01-31T16:27:35.073930550Z,-0.163908,10.406385,-0.565903,2170
2021-01-31T16:27:35.089927298Z,-0.289532,10.208978,-0.731007,1855
2021-01-31T16:27:35.106019824Z,-0.224925,9.967302,-0.594616,1465.625
2021-01-31T16:27:35.122049435Z,-0.305085,10.279566,-0.854238,2209.375
2021-01-31T16:27:35.138085869Z,-0.202193,9.911072,-0.649651,1863.75
2021-01-31T16:27:35.154150167Z,-0.138784,10.459028,-0.58026,2008.125
2021-01-31T16:27:35.170233163Z,-0.244068,9.870394,-0.739382,1850.625
2021-01-31T16:27:35.186303711Z,-0.061017,10.6684,-0.829113,2270.625
2021-01-31T16:27:35.202329520Z,-0.177069,10.387242,-0.783649,2441.25
2021-01-31T16:27:35.218551314Z,-0.270389,10.260423,-0.881755,2086.875
2021-01-31T16:27:35.234539833Z,-0.041874,9.984053,-0.97029,2463.125
2021-01-31T16:27:35.250501060Z,-0.150748,9.857233,-0.788435,2384.375
2021-01-31T16:27:35.266460569Z,-0.18664,10.1013,-0.672383,2043.125
2021-01-31T16:27:35.282420703Z,-0.210568,10.103694,-0.820738,2261.875
2021-01-31T16:27:35.298381097Z,-0.258425,9.999605,-0.661615,1894.375
2021-01-31T16:27:35.314360137Z,-0.354138,10.152746,-0.844666,2091.25
2021-01-31T16:27:35.330325427Z,-0.270389,10.018748,-0.56351,2012.5
2021-01-31T16:27:35.346289623Z,-0.177069,10.157533,-0.671187,2345
2021-01-31T16:27:35.362253871Z,-0.369691,9.492328,-0.792024,1662.5
2021-01-31T16:27:35.378214161Z,-0.244068,9.863215,-0.674776,1863.75
2021-01-31T16:27:35.394177681Z,-0.068195,9.968499,-0.556331,2065
2021-01-31T16:27:35.410136929Z,-0.294317,9.661021,-0.659223,1684.375
2021-01-31T16:27:35.426098677Z,-0.271585,10.218549,-0.898505,1999.375
2021-01-31T16:27:35.442062301Z,-0.441476,9.929017,-0.643669,2086.875
